"","corr","p2.2","p4.2","p4.3","p4.4","p6.2","p6.3","p6.4","p6.5","p6.6","p8.2","p8.3","p8.4","p8.5","p8.6","p8.7","p8.8","p10.2","p10.3","p10.4","p10.5","p10.6","p10.7","p10.8","p10.9","p10.10","p12.2","p12.3","p12.4","p12.5","p12.6","p12.7","p12.8","p12.9","p12.10","p12.11","p12.12"
"1",0,0.0028,0.0168,6e-04,1e-04,0.0355,0.0021,2e-04,1e-04,0,0.0625,0.0056,4e-04,1e-04,0,0,0,0.0924,0.012,6e-04,1e-04,0,0,0,0,0,0.1199,0.0211,0.0024,1e-04,0,0,0,0,0,0,0
"2",0.2,0.0032,0.0164,9e-04,0,0.0392,0.0048,5e-04,0,0,0.0623,0.012,0.0019,3e-04,0,0,0,0.0931,0.0224,0.0051,7e-04,2e-04,1e-04,0,0,0,0.1225,0.0343,0.0095,0.0021,6e-04,2e-04,1e-04,0,0,0,0
"3",0.4,0.0054,0.0267,0.0052,4e-04,0.0498,0.0143,0.0039,5e-04,1e-04,0.0766,0.0245,0.0095,0.0027,7e-04,1e-04,0,0.1031,0.0394,0.0164,0.007,0.0024,9e-04,2e-04,0,0,0.1283,0.0555,0.025,0.0117,0.0059,0.0024,0.001,3e-04,2e-04,0,0
"4",0.6,0.0136,0.0413,0.0135,0.0039,0.0685,0.0282,0.0126,0.0062,0.0018,0.0927,0.0472,0.0241,0.0138,0.0071,0.0037,0.001,0.113,0.0627,0.0368,0.0226,0.0147,0.0084,0.004,0.0022,6e-04,0.133,0.077,0.0478,0.0309,0.0209,0.0142,0.0083,0.0053,0.0027,0.0014,4e-04
"5",0.8,0.023,0.0508,0.0263,0.0111,0.0708,0.0431,0.0278,0.0169,0.0082,0.0853,0.0564,0.0392,0.0282,0.0203,0.0129,0.0063,0.0979,0.0673,0.049,0.0377,0.0281,0.022,0.0151,0.0099,0.0052,0.1085,0.0768,0.0579,0.045,0.0363,0.0289,0.0231,0.0167,0.012,0.0087,0.0044
